published_at,brand,content,Customer ID,Question,Tenure Type,Management area,Age Group,Ethnicity,Property Type,Disability (No Data for 2023)
01/04/2023,TSM Survey,"When I want anything doing it is done in good time and the workmen are always polite. I have lived here for a few years so I know them pretty well, apart from the repairs everything is fine with them.",WELL020780003,Why would you say you are satisfied with the service provided?,General Needs,Evenwood,66-75,White British,House,
01/04/2023,TSM Survey,If I am needing repairs doing they will do them! There is not much that they will not do. I have lived here for 15 months now so I am still fairly new it has all been brilliant including the process for moving in to the property.,MANS010810009,Why would you say you are satisfied with the service provided?,General Needs,Thornaby,25 and under,White British,House,
01/04/2023,TSM Survey,"As soon as you call and report something they come and get the job done, there is no waiting about. Apart from the repairs everything is also OK, the neighborhood is nice and quiet, we are in a cul-de-sac.",WINS010010001,Why would you say you are satisfied with the service provided?,General Needs,Staindrop,66-75,White British,House,
01/04/2023,TSM Survey,"Any repairs or things that go wrong, North Star do them as soon as they can do.",EMBL010020002,Why would you say you are satisfied with the service provided?,Supported,Stockton,46-55,White British,Bungalow,
01/04/2023,TSM Survey,"I have had no problems at all with them. North Star do what is needed at the time, the repairs.",KENT040020002,Why would you say you are satisfied with the service provided?,General Needs,Consett,66-75,White British,Bungalow,
01/04/2023,TSM Survey,It is just a good and quick service from them and they are friendly. I have lived here for five years now so know them pretty well and feel safe and sound in my new build home.,ROUS010270002,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,26-35,White British,House,
01/04/2023,TSM Survey,"If we got a problem we ring them up, they know I am old and disabled and they are very quick to respond.",HART010100003,Why would you say you are satisfied with the service provided?,General Needs,Staindrop,Over 75,White British,Bungalow,
01/04/2023,TSM Survey,"I am more than satisfied, they are there if you want anything and everything always gets dealt with. It does not matter how small the issue is, they will deal with it. It was strange when we were in lockdown but they still came out and what Ben needed was sorted by them until I arrived.",MANO021070007,Why would you say you are satisfied with the service provided?,General Needs,Cockfield,26-35,White British,Flat,
01/04/2023,TSM Survey,"When you report jobs they come and do them straight away. I have lived here for ten years so I know them pretty well, apart from the repairs it is all OK, I feel safe and secure in my home.",HEBR010040001,Why would you say you are satisfied with the service provided?,General Needs,Stokesley,36-45,White British,House,
01/04/2023,TSM Survey,I had a problem with my boiler that was going on for a few months. I contacted the housing officer directly and it was sorted within a week.,MONT010030003,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,26-35,White British,House,
01/04/2023,TSM Survey,"I just think that they are great. Of all the other Landlords I have had they have never done repairs but these are different. I moved in in August, I was gifted carpets and had a paint card to decorate. I have had the boiler down twice, I cannot fault them, it is working OK at the moment. We had knocked the radiator and that caused the problem.",STRA010160002,Why would you say you are satisfied with the service provided?,General Needs,Thornaby,26-35,White British,House,
01/04/2023,TSM Survey,Everything is alright. The housing is brilliant. Everyone at North Star is brilliant. Brenda at North Star is absolutely brilliant. I have no faults with them.,LEVI010020002,Why would you say you are satisfied with the service provided?,Housing for Older People,Middlesbrough,Over 75,White British,Flat,
01/04/2023,TSM Survey,"They are alright, I have no problems with them at all. I have lived here for over a year, it was a smooth process for me moving in and I have settled well. The move was a good one and I have had no issues.",ST P030460007,Why would you say you are satisfied with the service provided?,General Needs,Darlington,Over 75,White British,Flat,
01/04/2023,TSM Survey,"Everything is going good, when I need something it is done quickly.",Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Etherley,Over 75,White British,House,
01/04/2023,TSM Survey,"The maintenance men, I had a gutter leak and they came and mended it in one place but they did not check the rest of it. So, next time it rained leaked elsewhere. They did not check it properly. There is nothing really that they do that is that good.",CORO020170004,Why would you say you are satisfied with the service provided?,General Needs,Staindrop,Over 75,White British,Flat,
01/04/2023,TSM Survey,"I have never had any problems at all with them. We have a brilliant Housing Officer and they do a lot of extras with regard to energy efficiency and the cost of living crisis. From the information they have sent they have been and checked all properties for extra efficiency on heating and made improvements where necessary and this has helped in general. Jane is the Housing Officer and she is great, if there is anything she can do she will. Over the years she has helped with my Daughter and arranged improvement work to be carried out. She is always available and will put in place anything that is needed.",GRAN030210005,Why would you say you are satisfied with the service provided?,General Needs,Thornaby,46-55,White British,House,
01/04/2023,TSM Survey,I say that because they give a good service.,Anonymous,Why would you say you are satisfied with the service provided?,Supported,Stanley,26-35,White British,Flat,
01/04/2023,TSM Survey,"If we have ever reported any defects, they done them immediately.",CORO020140001,Why would you say you are satisfied with the service provided?,General Needs,Staindrop,Over 75,White British,House,
01/04/2023,TSM Survey,They do a good job.,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Darlington,26-35,White Other,House,
01/04/2023,TSM Survey,They do come whenever I need them and solve any problems. At the moment the only problem is when something is getting repaired I have not been getting informed that they are coming. They say they have texted me and have tried to call but they just arrive without any notification which is difficult as I am a working single mother.,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,NORTON,36-45,Asian or Asian British Pakistani,House,
01/04/2023,TSM Survey,When they come out they are great and do a good job. I do have a complaint as the girl who is in charge around here was up here. My husband told her that the front door archway the concrete is coming off and nothing was done about it.,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Consett,Over 75,White British,Bungalow,
01/04/2023,TSM Survey,"Every time I have to call them out they do a good job. I have lived here for 15 years so I know them pretty well. Apart from the repairs everything is good, the Neighbours and the area are fine.",RIBB020140002,Why would you say you are satisfied with the service provided?,General Needs,Darlington,66-75,White British,Flat,
01/04/2023,TSM Survey,I am happy,ALBA010390006,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,26-35,Asian or Asian British Pakistani,House,
01/04/2023,TSM Survey,"I am just happy, they come and see me, they come and check up on me regularly. The repair system is good though I am waiting for a repair at the moment. I have lived here for about twenty years so I know them pretty well.",MALV010280302,Why would you say you are satisfied with the service provided?,Supported,Middlesbrough,46-55,White British,Other,
01/04/2023,TSM Survey,"Every time I ring them for a repair I get it done straight away, I do not have to wait months for jobs to be done. Apart from the repairs everything is OK, the neighborhood is OK and I feel safe and secure in my home!",FURN010580007,Why would you say you are satisfied with the service provided?,General Needs,Hartlepool,36-45,White British,House,
01/04/2023,TSM Survey,They help me out a lot.,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,26-35,White British,House,
01/04/2023,TSM Survey,I have no problem with them.,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Thornaby,36-45,White British,House,
01/04/2023,TSM Survey,"North Star do what they can. When you report a repair, they try and come out as quick as they can.",NEWH010630004,Why would you say you are satisfied with the service provided?,General Needs,Evenwood,26-35,White British,House,
01/04/2023,TSM Survey,"I got everything sorted straight away, I had an emergency and they came out within an hour.",GRAN020700002,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,26-35,White British,House,
01/04/2023,TSM Survey,"It is a brand new bungalow and everything in it is modern. I moved in in November 2021, so about 18 months ago. The process of moving in was all fine and there have been no major problems since though the garden is a bit large for me to maintain.",YARM010620001,Why would you say you are satisfied with the service provided?,General Needs,Darlington,Over 75,White British,Bungalow,
01/04/2023,TSM Survey,I love it here because they are very nice and friendly. I also get my repairs done quickly and it is better to where I used to live.,ROSE030050003,Why would you say you are satisfied with the service provided?,Housing for Older People,Middlesbrough,56-65,White British,Flat,
01/04/2023,TSM Survey,Whenever I have had a problem and rung up the office they have sorted it within a day. Nothing has been a problem for them and they have resolved my problems quickly and efficiently.,MANO020690004,Why would you say you are satisfied with the service provided?,General Needs,Cockfield,56-65,White British,Bungalow,
01/04/2023,TSM Survey,This is because their customer service is excellent and any problems are resolved well. I have had no problems with North Star whatsoever.,DOND010380004,Why would you say you are satisfied with the service provided?,General Needs,THIRSK,56-65,White British,House,
01/04/2023,TSM Survey,This is because I have had no problems and there is nothing to complain about.,HOLL050260001,Why would you say you are satisfied with the service provided?,General Needs,Barnard Castle,36-45,White British,House,
01/04/2023,TSM Survey,It is a good service.,LAUR020100006,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,26-35,Asian or Asian British Indian,House,
01/04/2023,TSM Survey,"This is because it is nice to live here and they get things done when need be, and I also no problems at all.",ROSE030140003,Why would you say you are satisfied with the service provided?,Housing for Older People,Middlesbrough,56-65,,Flat,
01/04/2023,TSM Survey,"This is because every time I needed to get a job done, it is always done well.",LARV020040001,Why would you say you are satisfied with the service provided?,General Needs,Skinningrove,56-65,White British,House,
01/04/2023,TSM Survey,"I have never had any problems, if ever anything goes wrong I know that they will sort it out straight away, I do not have to wait. Last year the boiler broke and it was when we had bad weather, it affected the flu and they were out and on my roof every day. I have been living here for eight or nine years so I know them pretty well. There is nobody in particular I deal with, I have not phoned them for ages.",BEDE010050002,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,26-35,White British,House,
01/04/2023,TSM Survey,"If I have any bother they have always quick to respond . I have lived here for four year. so I know them pretty well now, I heard the rent was going up? However with the repairs they always come to fix them straight away.",BALD010470002,Why would you say you are satisfied with the service provided?,General Needs,Darlington,56-65,White British,Flat,
01/04/2023,TSM Survey,"I haven't had really had anything to do with them, I have only been here a year and I don't know what they are like as a company. If there has been anything, they have been good on the phone and pleasant.",DUBL020200011,Why would you say you are satisfied with the service provided?,General Needs,Darlington,56-65,White British,House,
01/04/2023,TSM Survey,We never have any issues. If we ever have any problems they are always dealt with in a timely fashion.,SHIR010550003,Why would you say you are satisfied with the service provided?,General Needs,Evenwood,36-45,White British,House,
01/07/2023,TSM Survey,The staff are polite,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Stockton,46-55,Black or Black British African,House,
01/07/2023,TSM Survey,I have no complaints,STAT020120002,Why would you say you are satisfied with the service provided?,General Needs,Gainford,Over 75,White British,Bungalow,
01/07/2023,TSM Survey,I am pleased with my property,RALE010370002,Why would you say you are satisfied with the service provided?,General Needs,NORTON,66-75,White British,Bungalow,
01/07/2023,TSM Survey,"I only moved in five weeks ago but I am happy with my flat, so I am satisfied.",CORO020200A03,Why would you say you are satisfied with the service provided?,General Needs,Staindrop,56-65,White British,FLAT,
01/07/2023,TSM Survey,"Getting our home was a very easy process, and the staff were very accommodating and quick to get back to us.",WIDD010070001,Why would you say you are satisfied with the service provided?,General Needs,Stockton,36-45,White British,House,
01/07/2023,TSM Survey,The repairs that are completed are very good. The staff are very pleasant.,LIST010340001,Why would you say you are satisfied with the service provided?,General Needs,Hartlepool,66-75,White British,House,
01/07/2023,TSM Survey,The repairs are straightforward and queries are dealt with straightaway.,CHEL010060001,Why would you say you are satisfied with the service provided?,General Needs,Thornaby,46-55,White British,House,
01/07/2023,TSM Survey,"Every time I've needed to contact them, I've not had any problems everything's been great, repairs have been satisfactory.",BROT010110002,Why would you say you are satisfied with the service provided?,General Needs,REDCAR,46-55,White British,FLAT,
01/07/2023,TSM Survey,Because I love the property I'm in.,MAYN010480004,Why would you say you are satisfied with the service provided?,General Needs,Carlinhow,46-55,White British,House,
01/07/2023,TSM Survey,no comment,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Darlington,Over 75,White British,Bungalow,
01/07/2023,TSM Survey,"I've never had a problem, they respond in time whenever I contact them, the communication is really good.",MANS010790004,Why would you say you are satisfied with the service provided?,General Needs,Thornaby,46-55,Mixed White & Black African,House,
01/07/2023,TSM Survey,I've had no problems with North Star.,GRAN020850003,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,36-45,White Other,House,
01/07/2023,TSM Survey,As long as I pay my rent they take care of me and leave me alone.,OUTR030480007,Why would you say you are satisfied with the service provided?,General Needs,Darlington,26-35,White British,FLAT,
01/07/2023,TSM Survey,I am satisfied because the staff who answer the phones are so polite and helpful. Every member of staff I have spoken to has been willing to help if I've had a problem.,DOND010320002,Why would you say you are satisfied with the service provided?,General Needs,THIRSK,66-75,White British,House,
01/07/2023,TSM Survey,If you need anything they respond quickly.,WALE020020005,Why would you say you are satisfied with the service provided?,General Needs,Darlington,66-75,White British,FLAT,
01/07/2023,TSM Survey,Everything that has been done has been done straight away stuff like that with reports.,STAR010100001,Why would you say you are satisfied with the service provided?,General Needs,Sunderland,26-35,White British,House,
01/07/2023,TSM Survey,The contractors who came were very good and tidied up after themselves.,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,Over 75,White British,Bungalow,
01/07/2023,TSM Survey,If I need a repair I only have to ask and it's done.,ROSE030180006,Why would you say you are satisfied with the service provided?,Housing for Older People,Middlesbrough,56-65,White British,Flat,
01/07/2023,TSM Survey,If I phone up and want something they're quite good at coming when we want them to and they've been alright with me.,IREN020230002,Why would you say you are satisfied with the service provided?,General Needs,Carlinhow,66-75,White British,Bungalow,
01/07/2023,TSM Survey,They did a good job for this repair.,Anonymous,Why would you say you are satisfied with the service provided?,Housing for Older People,Thornaby,66-75,White British,FLAT,
01/07/2023,TSM Survey,North Star are always helpful.,WARW010470003,Why would you say you are satisfied with the service provided?,General Needs,Darlington,36-45,White British,House,
01/07/2023,TSM Survey,I am happy with the service provided by North Star.,RUSK010120004,Why would you say you are satisfied with the service provided?,Housing for Older People,Stockton,46-55,Refused,FLAT,
01/07/2023,TSM Survey,"I am satisfied because repairs get done very quickly, and if I have any problems I have always found customer services to be fantastic.",SUDB010270002,Why would you say you are satisfied with the service provided?,General Needs,Staindrop,36-45,White British,House,
01/07/2023,TSM Survey,They have good service especially with how they respond to repairs.,GRAN011480003,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,66-75,Black or Black British Other,Bungalow,
01/07/2023,TSM Survey,"If I call NorthStar, they send the right tradesman to carry out the repair. The service is very good.",STAM010110004,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,36-45,Black or Black British African,House,
01/07/2023,TSM Survey,Every time I've been in touch with them they've always sorted things out straight away. I last contacted them at the end of last year.,YARM010420001,Why would you say you are satisfied with the service provided?,General Needs,Darlington,56-65,White British,Bungalow,
01/07/2023,TSM Survey,"They come when they're supposed to and treat you alright, and on the phone they're helpful.",MANO020520001,Why would you say you are satisfied with the service provided?,General Needs,Cockfield,Over 75,White British,Bungalow,
01/07/2023,TSM Survey,I'm happy with the way things go. I last contacted North Star last year.,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,46-55,White British,House,
01/07/2023,TSM Survey,"I am satisfied because they look after you here, and everything is clean and tidy and quiet and peaceful.",ST C010210004,Why would you say you are satisfied with the service provided?,Housing for Older People,Thornaby,66-75,White British,FLAT,
01/07/2023,TSM Survey,Because if any repairs need doing they get done.,FALC010030002,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,56-65,White British,House,
01/07/2023,TSM Survey,Everything is running smoothly. I last contacted North Star last week.,DALE020110002,Why would you say you are satisfied with the service provided?,General Needs,Etherley,66-75,White British,Bungalow,
01/07/2023,TSM Survey,I am very satisfied because they have just fitted a new boiler for me and done a fantastic job. The only thing that I am not satisfied with is all the problems I have with the drain outside that I have been reporting for the last eighteen months. When there is heavy rain I have to collect the water in a bucket and I am 83. I can't fault North Star with anything else it's just the drain outside.,WHIC010080001,Why would you say you are satisfied with the service provided?,General Needs,Stockton,Over 75,White British,House,
01/07/2023,TSM Survey,I find them very helpful and they keep in touch to see if you're alright and they do the checks and repairs are done quite quickly.,ST C010190005,Why would you say you are satisfied with the service provided?,Housing for Older People,Thornaby,Over 75,White British,FLAT,
01/07/2023,TSM Survey,Because when the men come they're very courteous and polite and always come when acceptable for me and give me time to get to the door properly.,GILM010820005,Why would you say you are satisfied with the service provided?,Housing for Older People,Thornaby,66-75,White British,FLAT,
01/07/2023,TSM Survey,The contact is really good and things that need sorting are done straight away.,ST P030340015,Why would you say you are satisfied with the service provided?,General Needs,Darlington,36-45,White Other,House,
01/07/2023,TSM Survey,Any phonecalls regarding repairs and they come out.,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Cotherstone,36-45,White British,House,
01/07/2023,TSM Survey,They have done what they've needed to do.  They have been fine since we got the property a couple of months ago.,WEST010050006,Why would you say you are satisfied with the service provided?,General Needs,Carlinhow,26-35,White British,House,
01/07/2023,TSM Survey,Every thing I've asked for they have helped. With regards to my call outs they have been very helpful.,NEWH010220006,Why would you say you are satisfied with the service provided?,General Needs,Evenwood,56-65,White British,House,
01/07/2023,TSM Survey,It's just always excellent service.,BARR020060001,Why would you say you are satisfied with the service provided?,General Needs,Hartlepool,36-45,White British,House,
01/07/2023,TSM Survey,Because as soon as you phone up for a repair they come straight out.,PEEL020300006,Why would you say you are satisfied with the service provided?,General Needs,Thornaby,36-45,White British,House,
01/07/2023,TSM Survey,I am satisfied with North Star because when my health went downhill they helped me to get myself and my home sorted out.,SWAL010070001,Why would you say you are satisfied with the service provided?,General Needs,Darlington,56-65,White British,Bungalow,
01/07/2023,TSM Survey,There are still pending repairs however they do tend to the queries very quickly.,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Hartlepool,26-35,Black or Black British African,House,
01/07/2023,TSM Survey,If I had a repair to do they come straight out.,MELL020040004,Why would you say you are satisfied with the service provided?,General Needs,Darlington,56-65,White British,HOUSE,
01/07/2023,TSM Survey,"The rent is cheap compared to the private sector and the repairs are done quickly, I am very satisfied with North Star.",GRAN020890002,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,46-55,Mixed White & Black African,House,
01/07/2023,TSM Survey,It is affordable and I am okay.,GRAN020800005,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,36-45,Black or Black British African,House,
01/07/2023,TSM Survey,The north star staff are really good and when I have problems with the property they will come and solve. I last contacted them one month ago when they came to fix the window handle.,MONT010230003,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,36-45,Asian or Asian British Other,House,
01/07/2023,TSM Survey,"The reason is when they come, they do a good job and are quick, the plumber yesterday was very quick and very polite as all have been, I've no complaints.",HART010070002,Why would you say you are satisfied with the service provided?,General Needs,Staindrop,Over 75,White British,Bungalow,
01/07/2023,TSM Survey,I have had no issues with  North Star.,LANE040190003,Why would you say you are satisfied with the service provided?,General Needs,Darlington,36-45,White British,House,
01/07/2023,TSM Survey,They're not bothering me much. When I phoned up about things they've been excellent on one occasion and bad on one occasion. I've only called them out twice. I last contacted them last week over electrics and they come on that day and I was very satisfied,EASI010190002,Why would you say you are satisfied with the service provided?,Supported,Stockton,66-75,White British,Bungalow,
01/07/2023,TSM Survey,The people who do the repairs are so nice and Clare the Housing Officer is also nice.,BEDA010120001,Why would you say you are satisfied with the service provided?,General Needs,Richmond,36-45,Asian or Asian British Other,House,
01/07/2023,TSM Survey,"It's a very comfortable home, cozy, everything works and the service is up to date. I haven't contacted them because everything is perfect.",AIDA010930004,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,46-55,Asian or Asian British Indian,House,
01/07/2023,TSM Survey,I get the work done what needs to be done and they're very friendly and very helpful. I last contacted them last week.,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,56-65,White British,House,
01/07/2023,TSM Survey,Everything they have done I have been happy with it.,MONT010260003,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,36-45,Black or Black British African,House,
01/07/2023,TSM Survey,"I love the property I'm living in. The company are very good to the tenants, I can't fault them at all. I last contacted them about 3 weeks ago when I had to get work done to the house.",HERM010030002,Why would you say you are satisfied with the service provided?,General Needs,Darlington,56-65,White British,Bungalow,
01/07/2023,TSM Survey,I am happy with North Star.,ASPE020280005,Why would you say you are satisfied with the service provided?,Supported,Stockton,46-55,White British,FLAT,
01/07/2023,TSM Survey,When you need them they come straight out and sort out any problems you have. I last contacted them about a week ago.,GRAN030610005,Why would you say you are satisfied with the service provided?,General Needs,Thornaby,36-45,White British,House,
01/07/2023,TSM Survey,The key workers are helpful and everything you need is here. I'm not sure when I last contacted them.,RAIN010600I18,Why would you say you are satisfied with the service provided?,Supported,Middlesbrough,25 and under,White British,FLAT,
01/07/2023,TSM Survey,I have never had any issues with them.,LANG010300007,Why would you say you are satisfied with the service provided?,General Needs,Thornaby,36-45,White British,House,
01/07/2023,TSM Survey,I am satisfied because repairs I have asked for have always been done.,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Darlington,56-65,Mixed White & Asian,House,
01/07/2023,TSM Survey,We are happy with our home. Our previous home had a lot of damp.,DIXO010390005,Why would you say you are satisfied with the service provided?,General Needs,Stockton,26-35,Asian or Asian British Pakistani,House,
01/07/2023,TSM Survey,Because every time I've wanted anything they've responded quite quickly and fixed whatever was wrong.,MINO010870A02,Why would you say you are satisfied with the service provided?,General Needs,Darlington,Over 75,White British,FLAT,
01/10/2023,TSM Survey,Efficient helpful,MANO0211600,Why would you say you are satisfied with the service provided?,General Needs,Cockfield,Over 75,White British,FLAT,
01/10/2023,TSM Survey,Great service,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Sunderland,25 and under,White British,House,
01/10/2023,TSM Survey,Everything I have asked for has been actioned fairly quickly and efficiently,PION0205900,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,66-75,White British,FLAT,
01/10/2023,TSM Survey,Always professional and fast repairs,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Hartlepool,56-65,White British,Bungalow,
01/10/2023,TSM Survey,Repairs always easy to report and completed punctually .  Staff always polite and helpful when I need to speak to them for any reason,ST P0101000,Why would you say you are satisfied with the service provided?,General Needs,Thornaby,66-75,White British,House,
01/10/2023,TSM Survey,I have no problem with northstar,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Darlington,56-65,White British,House,
01/10/2023,TSM Survey,Prompt friendly service when needed.,WELL0202200,Why would you say you are satisfied with the service provided?,General Needs,Evenwood,66-75,White Irish,Bungalow,
01/10/2023,TSM Survey,Because North Star have always looked after their tenants the way a landlord ought to,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Staindrop,46-55,White British,Bungalow,
01/10/2023,TSM Survey,Worker was polite and let me know whovthey were before entering property,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Stockton,36-45,White British,House,
01/10/2023,TSM Survey,Had no problem contacting them and jobs that needed doing were complete in correct manner,RED 0101400,Why would you say you are satisfied with the service provided?,General Needs,Etherley,46-55,White British,House,
01/10/2023,TSM Survey,Always willing to help to sort out issue's,WALE0200100,Why would you say you are satisfied with the service provided?,General Needs,Darlington,66-75,White British,FLAT,
01/10/2023,TSM Survey,All my requests were fulfilled,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Stockton,46-55,White Other,House,
01/10/2023,TSM Survey,Excellent service throughout,SWAL0200300,Why would you say you are satisfied with the service provided?,General Needs,Bedale - North Yorkshire,56-65,White British,House,
01/10/2023,TSM Survey,issues are fixed when asked,#N/A,Why would you say you are satisfied with the service provided?,Supported,Middlesbrough,Unknown,,Room,
01/10/2023,TSM Survey,Support offered by my housing officer.   Took time to listen to my current health issues and how they are affecting my living conditions,DALE0500300,Why would you say you are satisfied with the service provided?,General Needs,Hartlepool,66-75,White British,House,
01/10/2023,TSM Survey,"Have been a tenant for something like 15 years and have had no problems with having things done. The only reason I have concerns about is some of the garages are taken by non residents of the estate, and some are not used for a car but to keep household rubbish in, the door hasn't been open for years!.",Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Evenwood,Over 75,White British,Bungalow,
01/10/2023,TSM Survey,Because I have no issues,HART0100400,Why would you say you are satisfied with the service provided?,General Needs,Staindrop,Over 75,White British,Bungalow,
01/10/2023,TSM Survey,All calls and query’s have been answered straight away,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Sunderland,56-65,White British,House,
01/10/2023,TSM Survey,Happy with my home .,Anonymous,Why would you say you are satisfied with the service provided?,General Needs,Sunderland,46-55,White British,House,
01/10/2023,TSM Survey,"Very good repair service , although the kitchen needs updating",RYAN0100300,Why would you say you are satisfied with the service provided?,General Needs,Hartlepool,56-65,White British,Bungalow,
01/10/2023,TSM Survey,Beautiful new house,STAR0101600,Why would you say you are satisfied with the service provided?,General Needs,Sunderland,46-55,White British,House,
01/10/2023,TSM Survey,Good communication with tenants,WENS0105200,Why would you say you are satisfied with the service provided?,General Needs,Hartlepool,Over 75,White British,FLAT,
01/10/2023,TSM Survey,Good landlord,WEST0216900,Why would you say you are satisfied with the service provided?,General Needs,Thornaby,46-55,White British,House,
01/10/2023,TSM Survey,My flat is warm and safe. Any repairs I needed were dealt with quickly..my rent compares favourably with other sites.,WORS0202000,Why would you say you are satisfied with the service provided?,Housing for Older People,Darlington,Over 75,,FLAT,
01/10/2023,TSM Survey,North Star monitors the order of the territory,PION0203300,Why would you say you are satisfied with the service provided?,General Needs,Middlesbrough,36-45,White Other,House,
01/10/2023,TSM Survey,"If there are any repairs needed, North Star come and repair them quickly, and communication is good.",Anonymous,Why would you say you are satisfied with the service provided?,Supported,Redcar,Unknown,,Room,
