publishedx_at,brand,contentx,Customer Idx,Question,Tenure Typex,Management areax,Age Groupx,Ethnicityx,Property Typex
2021-10-27,Brand B,"If we got a problem we ring them up, they know I am old and disabled and they are very quick to respond.",Anonymous,What causes high variance in predictions?,Leasehold,Cockfield,26-35,Asian,House
2024-03-29,Brand C,This is because I have had no problems and there is nothing to complain about.,MANS010810009,What causes high variance in predictions?,Leasehold,Sunderland,26-35,Black,Studio
2021-05-06,Brand A,"When you report jobs they come and do them straight away. I have lived here for ten years so I know them pretty well, apart from the repairs it is all OK, I feel safe and secure in my home.",EMBL010020002,How do I handle missing values?,Leasehold,Hartlepool,36-45,Black,Flat
2022-11-01,Brand C,This is because their customer service is excellent and any problems are resolved well. I have had no problems with North Star whatsoever.,NENT010050006,How do I handle missing values?,Freehold,Teesdale,18-25,White,Flat
2024-04-05,Brand B,great service,Anonymous,What causes high variance in predictions?,Leasehold,THIRSK,46-60,Mixed,Maisonette
2022-08-29,Brand B,"Every time I have reported anything I have needed doing the people have come out and have been responsible and courteous. They have also been clean and tidy and left the house as they found it and they have also done the job perfectly. Other than repairs, everything is also OK.",WINS010010001,What causes high variance in predictions?,Shared Ownership,Stockton,18-25,Black,Bungalow
2024-12-31,Brand A,so far jobs have been carried out as promised,ST P030840009,Why is inference so slow on new data?,Freehold,Etherley,46-60,Other,Flat
2022-12-16,Brand D,"When I want anything doing it is done in good time and the workmen are always polite. I have lived here for a few years so I know them pretty well, apart from the repairs everything is fine with them.",Anonymous,What hyperparameters should I tune?,Private Rental,Barnard Castle,46-60,Mixed,Bungalow
2023-08-05,Brand C,Helpfull,Anonymous,What hyperparameters should I tune?,Freehold,Evenwood,60+,Asian,Flat
2022-05-15,Brand D,"Everything is going good, when I need something it is done quickly.",BREN010210010,How do I handle missing values?,Private Rental,Evenwood,46-60,Asian,Maisonette
2024-10-07,Brand A,"I am more than satisfied, they are there if you want anything and everything always gets dealt with. It does not matter how small the issue is, they will deal with it. It was strange when we were in lockdown but they still came out and what Ben needed was sorted by them until I arrived.",AYRE030310001,What hyperparameters should I tune?,Leasehold,Stockton,46-60,Black,Bungalow
2023-08-16,Brand D,Generally rent is fair and necessary work and repairs are carried out saisfactorily,BALD010050001,Why is inference so slow on new data?,Private Rental,Cotherstone,36-45,Other,Bungalow
2022-07-05,Brand D,When they come out they are great and do a good job. I do have a complaint as the girl who is in charge around here was up here. My husband told her that the front door archway the concrete is coming off and nothing was done about it.,Anonymous,What causes high variance in predictions?,Leasehold,THIRSK,26-35,Other,Bungalow
2024-03-29,Brand D,"Every time I have to call them out they do a good job. I have lived here for 15 years so I know them pretty well. Apart from the repairs everything is good, the Neighbours and the area are fine.",AIDA010040003,How can I improve model precision?,Leasehold,Middlesbrough,18-25,Other,Studio
2024-07-24,Brand A,I am happy,WINS010010001,What causes high variance in predictions?,Shared Ownership,Darlington,46-60,Asian,Flat
2021-10-29,Brand B,This is because I have had no problems and there is nothing to complain about.,Anonymous,What hyperparameters should I tune?,Private Rental,Stokesley,36-45,Asian,Studio
2023-12-05,Brand B,Very good housing and very friendly service,WINS010010001,What causes high variance in predictions?,Leasehold,Etherley,46-60,White,Maisonette
2021-09-05,Brand D,Very good housing and very friendly service,BALD010050001,How do I handle missing values?,Freehold,Staindrop,18-25,Black,Bungalow
2021-10-21,Brand C,"I am just happy, they come and see me, they come and check up on me regularly. The repair system is good though I am waiting for a repair at the moment. I have lived here for about twenty years so I know them pretty well.",Anonymous,How do I handle missing values?,Shared Ownership,Middlesbrough,46-60,White,Bungalow
2024-03-21,Brand B,"North Star do what they can. When you report a repair, they try and come out as quick as they can.",Anonymous,What hyperparameters should I tune?,Leasehold,Middlesbrough,26-35,Black,Bungalow
2023-06-09,Brand D,"I am just happy, they come and see me, they come and check up on me regularly. The repair system is good though I am waiting for a repair at the moment. I have lived here for about twenty years so I know them pretty well.",BALD010050001,How do I handle missing values?,Freehold,Etherley,46-60,Other,Maisonette
2021-07-15,Brand A,If I am needing repairs doing they will do them! There is not much that they will not do. I have lived here for 15 months now so I am still fairly new it has all been brilliant including the process for moving in to the property.,AIDA010040003,Why is inference so slow on new data?,Shared Ownership,Consett,26-35,White,Studio
2024-07-06,Brand D,Very good service,PION020430001,Why is inference so slow on new data?,Freehold,Skinningrove,46-60,Black,Flat
2023-03-23,Brand D,"I am just happy, they come and see me, they come and check up on me regularly. The repair system is good though I am waiting for a repair at the moment. I have lived here for about twenty years so I know them pretty well.",PARK030100001,How do I handle missing values?,Shared Ownership,NORTON,18-25,Asian,Bungalow
2024-01-11,Brand B,"Every time I ring them for a repair I get it done straight away, I do not have to wait months for jobs to be done. Apart from the repairs everything is OK, the neighborhood is OK and I feel safe and secure in my home!",AIDA010040003,How do I handle missing values?,Shared Ownership,Cotherstone,26-35,Mixed,Flat
2021-02-22,Brand A,"North Star do what they can. When you report a repair, they try and come out as quick as they can.",MILT010770106,Why is inference so slow on new data?,Shared Ownership,REDCAR,36-45,Black,Bungalow
2022-09-03,Brand B,Very good service,NENT010050006,What causes high variance in predictions?,Leasehold,THIRSK,36-45,White,House
2024-07-02,Brand C,I had a problem with my boiler that was going on for a few months. I contacted the housing officer directly and it was sorted within a week.,PLAN010590001,What hyperparameters should I tune?,Freehold,Staindrop,26-35,White,Maisonette
2023-03-22,Brand C,"Efficiency, reliability, prompt responses.",BALD010050001,What hyperparameters should I tune?,Private Rental,Darlington,60+,Other,Studio
2022-12-04,Brand D,"North Star do what they can. When you report a repair, they try and come out as quick as they can.",WINS010010001,How can I improve model precision?,Leasehold,Thornaby,26-35,Black,Maisonette
2023-08-21,Brand D,"If we have ever reported any defects, they done them immediately.",BREN010210010,How do I handle missing values?,Private Rental,Cockfield,18-25,Mixed,Maisonette
2021-09-14,Brand B,"When I want anything doing it is done in good time and the workmen are always polite. I have lived here for a few years so I know them pretty well, apart from the repairs everything is fine with them.",EMBL010020002,How do I handle missing values?,Private Rental,Middlesbrough,46-60,White,Maisonette
2021-06-17,Brand A,so far jobs have been carried out as promised,Anonymous,What causes high variance in predictions?,Leasehold,Stockton,46-60,Other,Flat
2024-02-01,Brand C,"As soon as you call and report something they come and get the job done, there is no waiting about. Apart from the repairs everything is also OK, the neighborhood is nice and quiet, we are in a cul-de-sac.",PLAN010590001,How can I improve model precision?,Freehold,Skinningrove,60+,Other,Studio
2021-06-06,Brand C,All and any issues resolved quickly,BREN010210010,Why is inference so slow on new data?,Private Rental,Evenwood,46-60,Other,House
2021-07-15,Brand B,"Any repairs or things that go wrong, North Star do them as soon as they can do.",Anonymous,How do I handle missing values?,Leasehold,Stanley,26-35,Asian,House
2022-04-14,Brand B,They do a good job.,MITC021150001,Why is inference so slow on new data?,Private Rental,Stockton,46-60,Asian,Flat
2021-01-25,Brand B,Whenever I have had a problem and rung up the office they have sorted it within a day. Nothing has been a problem for them and they have resolved my problems quickly and efficiently.,MILT010770106,Why is inference so slow on new data?,Freehold,Cockfield,46-60,Black,Maisonette
2024-03-19,Brand A,"I just think that they are great. Of all the other Landlords I have had they have never done repairs but these are different. I moved in in August, I was gifted carpets and had a paint card to decorate. I have had the boiler down twice, I cannot fault them, it is working OK at the moment. We had knocked the radiator and that caused the problem.",PARK030100001,What hyperparameters should I tune?,Private Rental,Thornaby,18-25,White,Bungalow
2022-10-06,Brand A,I have no problem with them.,PARK030100001,How do I handle missing values?,Private Rental,Gainford,18-25,White,Flat
2021-09-26,Brand C,I say that because they give a good service.,Anonymous,What hyperparameters should I tune?,Private Rental,Thornaby,36-45,Mixed,Maisonette
2022-11-07,Brand A,Workers great help respectful,WINS010010001,Why is inference so slow on new data?,Freehold,Middlesbrough,46-60,White,Maisonette
2022-05-02,Brand D,great service,NENT010050006,How do I handle missing values?,Shared Ownership,Stockton,60+,Mixed,Maisonette
2022-12-21,Brand A,"If we got a problem we ring them up, they know I am old and disabled and they are very quick to respond.",PLAN010590001,What hyperparameters should I tune?,Private Rental,Staindrop,46-60,White,Bungalow
2024-12-20,Brand D,"Every time I have to call them out they do a good job. I have lived here for 15 years so I know them pretty well. Apart from the repairs everything is good, the Neighbours and the area are fine.",NENT010050006,Why is inference so slow on new data?,Private Rental,Sunderland,18-25,Other,Maisonette
2022-01-16,Brand C,"If we have ever reported any defects, they done them immediately.",ST P030840009,How do I handle missing values?,Private Rental,Darlington,46-60,Asian,Flat
2024-09-11,Brand B,"Every time I ring them for a repair I get it done straight away, I do not have to wait months for jobs to be done. Apart from the repairs everything is OK, the neighborhood is OK and I feel safe and secure in my home!",LARV020050005,How can I improve model precision?,Private Rental,Sunderland,60+,Other,House
2024-02-14,Brand B,"Everything is going good, when I need something it is done quickly.",BALD010050001,How can I improve model precision?,Freehold,THIRSK,46-60,White,House
2023-09-11,Brand D,They do a good job.,Anonymous,How do I handle missing values?,Freehold,Skinningrove,60+,Black,Studio
2024-07-05,Brand D,"Every time I ring them for a repair I get it done straight away, I do not have to wait months for jobs to be done. Apart from the repairs everything is OK, the neighborhood is OK and I feel safe and secure in my home!",MILT010770106,Why is inference so slow on new data?,Leasehold,Carlinhow,26-35,Black,Bungalow
2024-04-23,Brand A,"I am more than satisfied, they are there if you want anything and everything always gets dealt with. It does not matter how small the issue is, they will deal with it. It was strange when we were in lockdown but they still came out and what Ben needed was sorted by them until I arrived.",WORT020150001,How do I handle missing values?,Private Rental,Stanley,60+,Black,House
2021-01-05,Brand D,Keep you updated,PION020430001,Why is inference so slow on new data?,Freehold,Darlington,36-45,White,House
2024-02-02,Brand A,Keep you updated,AYRE030310001,How can I improve model precision?,Leasehold,Staindrop,36-45,Mixed,Studio
2023-10-26,Brand C,Servicing is kept up to date and I’ve just had a full electrical check which makes me feel safe,COPE010190002,Why is inference so slow on new data?,Freehold,Thornaby,60+,White,House
2023-12-06,Brand A,"I have never had any problems at all with them. We have a brilliant Housing Officer and they do a lot of extras with regard to energy efficiency and the cost of living crisis. From the information they have sent they have been and checked all properties for extra efficiency on heating and made improvements where necessary and this has helped in general. Jane is the Housing Officer and she is great, if there is anything she can do she will. Over the years she has helped with my Daughter and arranged improvement work to be carried out. She is always available and will put in place anything that is needed.",Anonymous,What causes high variance in predictions?,Shared Ownership,REDCAR,60+,Other,Flat
2024-03-27,Brand D,They do come whenever I need them and solve any problems. At the moment the only problem is when something is getting repaired I have not been getting informed that they are coming. They say they have texted me and have tried to call but they just arrive without any notification which is difficult as I am a working single mother.,EMBL010020002,How do I handle missing values?,Private Rental,Teesdale,26-35,Mixed,Maisonette
2024-07-06,Brand B,"They are alright, I have no problems with them at all. I have lived here for over a year, it was a smooth process for me moving in and I have settled well. The move was a good one and I have had no issues.",AIDA010040003,How do I handle missing values?,Shared Ownership,Thornaby,26-35,Other,Studio
2021-07-04,Brand C,"As soon as you call and report something they come and get the job done, there is no waiting about. Apart from the repairs everything is also OK, the neighborhood is nice and quiet, we are in a cul-de-sac.",PLAN010590001,How can I improve model precision?,Private Rental,Stockton,36-45,Other,Studio
2022-05-06,Brand D,Servicing is kept up to date and I’ve just had a full electrical check which makes me feel safe,PION020430001,What hyperparameters should I tune?,Freehold,Cotherstone,18-25,Mixed,Bungalow
2023-11-26,Brand D,"As soon as you call and report something they come and get the job done, there is no waiting about. Apart from the repairs everything is also OK, the neighborhood is nice and quiet, we are in a cul-de-sac.",AIDA010040003,How can I improve model precision?,Leasehold,Hartlepool,46-60,Black,Maisonette
2021-09-29,Brand D,"Every time I ring them for a repair I get it done straight away, I do not have to wait months for jobs to be done. Apart from the repairs everything is OK, the neighborhood is OK and I feel safe and secure in my home!",AYRE030310001,How do I handle missing values?,Freehold,Cockfield,36-45,Black,Maisonette
2023-07-11,Brand A,"When I want anything doing it is done in good time and the workmen are always polite. I have lived here for a few years so I know them pretty well, apart from the repairs everything is fine with them.",Anonymous,Why is inference so slow on new data?,Private Rental,Staindrop,46-60,Asian,Bungalow
2024-05-07,Brand A,"As soon as you call and report something they come and get the job done, there is no waiting about. Apart from the repairs everything is also OK, the neighborhood is nice and quiet, we are in a cul-de-sac.",Anonymous,How can I improve model precision?,Private Rental,Gainford,36-45,Black,Flat
2024-01-23,Brand A,"Every time I have reported anything I have needed doing the people have come out and have been responsible and courteous. They have also been clean and tidy and left the house as they found it and they have also done the job perfectly. Other than repairs, everything is also OK.",LARV020050005,Why is inference so slow on new data?,Shared Ownership,Darlington,18-25,Black,Studio
2021-12-30,Brand A,Servicing is kept up to date and I’ve just had a full electrical check which makes me feel safe,Anonymous,How do I handle missing values?,Leasehold,Etherley,46-60,Mixed,House
2024-12-20,Brand B,"I am more than satisfied, they are there if you want anything and everything always gets dealt with. It does not matter how small the issue is, they will deal with it. It was strange when we were in lockdown but they still came out and what Ben needed was sorted by them until I arrived.",BREN010210010,How can I improve model precision?,Leasehold,Staindrop,36-45,Other,Bungalow
2022-09-06,Brand C,I love it here because they are very nice and friendly. I also get my repairs done quickly and it is better to where I used to live.,AYRE030310001,How do I handle missing values?,Leasehold,REDCAR,26-35,Asian,Studio
2023-05-18,Brand A,If I need any repairs  done they come straight out or come out the next day,EMBL010020002,How can I improve model precision?,Private Rental,Stanley,46-60,White,Studio
2022-09-03,Brand C,They help me out a lot.,PARK030100001,What causes high variance in predictions?,Freehold,Cockfield,60+,White,House
2024-10-30,Brand C,All and any issues resolved quickly,WELL020780003,How can I improve model precision?,Freehold,Cockfield,46-60,Black,Maisonette
2023-04-26,Brand D,I had a problem with my boiler that was going on for a few months. I contacted the housing officer directly and it was sorted within a week.,MILT010770106,How can I improve model precision?,Private Rental,Hartlepool,60+,Other,Flat
2021-01-31,Brand A,"I got everything sorted straight away, I had an emergency and they came out within an hour.",LARV020050005,Why is inference so slow on new data?,Leasehold,Hartlepool,60+,Other,Maisonette
2023-04-06,Brand D,This is because their customer service is excellent and any problems are resolved well. I have had no problems with North Star whatsoever.,WELL020780003,What hyperparameters should I tune?,Leasehold,Hartlepool,26-35,White,House
2024-09-15,Brand A,"I have never had any problems at all with them. We have a brilliant Housing Officer and they do a lot of extras with regard to energy efficiency and the cost of living crisis. From the information they have sent they have been and checked all properties for extra efficiency on heating and made improvements where necessary and this has helped in general. Jane is the Housing Officer and she is great, if there is anything she can do she will. Over the years she has helped with my Daughter and arranged improvement work to be carried out. She is always available and will put in place anything that is needed.",WINS010010001,What hyperparameters should I tune?,Private Rental,THIRSK,26-35,Black,Maisonette
2024-05-21,Brand B,Workers great help respectful,PION020430001,How can I improve model precision?,Freehold,REDCAR,46-60,Other,Bungalow
2021-10-13,Brand C,"I have never had any problems at all with them. We have a brilliant Housing Officer and they do a lot of extras with regard to energy efficiency and the cost of living crisis. From the information they have sent they have been and checked all properties for extra efficiency on heating and made improvements where necessary and this has helped in general. Jane is the Housing Officer and she is great, if there is anything she can do she will. Over the years she has helped with my Daughter and arranged improvement work to be carried out. She is always available and will put in place anything that is needed.",LARV020050005,How can I improve model precision?,Private Rental,Sunderland,60+,Mixed,Bungalow
2023-11-11,Brand C,"I got everything sorted straight away, I had an emergency and they came out within an hour.",LARV020050005,What hyperparameters should I tune?,Leasehold,Evenwood,18-25,Asian,Flat
2023-09-29,Brand D,Whenever I have had a problem and rung up the office they have sorted it within a day. Nothing has been a problem for them and they have resolved my problems quickly and efficiently.,BALD010050001,How do I handle missing values?,Leasehold,Consett,36-45,Other,House
2022-01-14,Brand C,They do come whenever I need them and solve any problems. At the moment the only problem is when something is getting repaired I have not been getting informed that they are coming. They say they have texted me and have tried to call but they just arrive without any notification which is difficult as I am a working single mother.,WINS010010001,What hyperparameters should I tune?,Leasehold,Sunderland,18-25,Black,Flat
2022-07-20,Brand C,When they come out they are great and do a good job. I do have a complaint as the girl who is in charge around here was up here. My husband told her that the front door archway the concrete is coming off and nothing was done about it.,LARV020050005,Why is inference so slow on new data?,Private Rental,REDCAR,36-45,Mixed,Bungalow
2021-08-04,Brand B,"I am just happy, they come and see me, they come and check up on me regularly. The repair system is good though I am waiting for a repair at the moment. I have lived here for about twenty years so I know them pretty well.",MILT010770106,How do I handle missing values?,Freehold,Darlington,46-60,Mixed,Flat
2023-04-16,Brand B,"I have never had any problems at all with them. We have a brilliant Housing Officer and they do a lot of extras with regard to energy efficiency and the cost of living crisis. From the information they have sent they have been and checked all properties for extra efficiency on heating and made improvements where necessary and this has helped in general. Jane is the Housing Officer and she is great, if there is anything she can do she will. Over the years she has helped with my Daughter and arranged improvement work to be carried out. She is always available and will put in place anything that is needed.",Anonymous,Why is inference so slow on new data?,Leasehold,Teesdale,46-60,Asian,Flat
2023-03-08,Brand B,"I am just happy, they come and see me, they come and check up on me regularly. The repair system is good though I am waiting for a repair at the moment. I have lived here for about twenty years so I know them pretty well.",Anonymous,What hyperparameters should I tune?,Freehold,Stokesley,36-45,Black,Maisonette
2021-05-15,Brand A,Workers great help respectful,AIDA010040003,What causes high variance in predictions?,Shared Ownership,Stanley,18-25,Black,Maisonette
2022-02-16,Brand D,"Every time I ring them for a repair I get it done straight away, I do not have to wait months for jobs to be done. Apart from the repairs everything is OK, the neighborhood is OK and I feel safe and secure in my home!",BREN010210010,Why is inference so slow on new data?,Shared Ownership,Stanley,36-45,White,Studio
2022-03-24,Brand D,"Every time I have to call them out they do a good job. I have lived here for 15 years so I know them pretty well. Apart from the repairs everything is good, the Neighbours and the area are fine.",MANS010810009,What causes high variance in predictions?,Private Rental,Gainford,36-45,Mixed,House
2021-11-14,Brand A,Keep you updated,WELL020780003,What hyperparameters should I tune?,Shared Ownership,Gainford,18-25,Mixed,Bungalow
2023-03-09,Brand C,"When you report jobs they come and do them straight away. I have lived here for ten years so I know them pretty well, apart from the repairs it is all OK, I feel safe and secure in my home.",MANS010810009,What hyperparameters should I tune?,Freehold,Stokesley,60+,White,Bungalow
2023-08-19,Brand B,Keep you updated,Anonymous,What hyperparameters should I tune?,Private Rental,Skinningrove,46-60,Black,Bungalow
2023-07-12,Brand C,Keep you updated,MITC021150001,How do I handle missing values?,Leasehold,Etherley,18-25,Other,Flat
2021-06-19,Brand D,"Every time I have to call them out they do a good job. I have lived here for 15 years so I know them pretty well. Apart from the repairs everything is good, the Neighbours and the area are fine.",PLAN010590001,What hyperparameters should I tune?,Shared Ownership,Skinningrove,36-45,Mixed,Studio
2022-08-01,Brand A,This is because I have had no problems and there is nothing to complain about.,ST P030840009,How do I handle missing values?,Freehold,THIRSK,60+,Asian,Maisonette
2022-01-10,Brand B,I say that because they give a good service.,Anonymous,How do I handle missing values?,Freehold,Darlington,26-35,Mixed,Flat
2022-12-27,Brand C,because you are honnest,COPE010190002,How can I improve model precision?,Private Rental,Evenwood,46-60,Other,Flat
2023-10-19,Brand A,"If we got a problem we ring them up, they know I am old and disabled and they are very quick to respond.",PARK030100001,How can I improve model precision?,Shared Ownership,Barnard Castle,18-25,White,Maisonette
2021-05-05,Brand B,"If we got a problem we ring them up, they know I am old and disabled and they are very quick to respond.",Anonymous,What causes high variance in predictions?,Leasehold,Consett,36-45,White,Flat
2024-03-19,Brand D,This is because their customer service is excellent and any problems are resolved well. I have had no problems with North Star whatsoever.,WINS010010001,How can I improve model precision?,Freehold,Darlington,26-35,Black,Studio
2023-12-19,Brand A,Very good housing and very friendly service,COPE010190002,Why is inference so slow on new data?,Leasehold,THIRSK,46-60,Other,House
2023-04-10,Brand D,Made sure that I got my heating and hot water back on the same day he arrived,MANS010810009,Why is inference so slow on new data?,Shared Ownership,Evenwood,18-25,White,Maisonette
2023-07-10,Brand B,Very good service,PLAN010590001,Why is inference so slow on new data?,Leasehold,THIRSK,26-35,Black,Maisonette
2024-03-27,Brand A,It is a good service.,PARK030100001,How can I improve model precision?,Freehold,Cotherstone,46-60,Asian,House
2022-11-13,Brand C,I love it here because they are very nice and friendly. I also get my repairs done quickly and it is better to where I used to live.,MANS010810009,What hyperparameters should I tune?,Private Rental,Etherley,60+,Black,Bungalow
2023-05-04,Brand B,I had a problem with my boiler that was going on for a few months. I contacted the housing officer directly and it was sorted within a week.,BREN010210010,What causes high variance in predictions?,Leasehold,Teesdale,18-25,Asian,Bungalow
2021-10-21,Brand C,I am happy,Anonymous,What hyperparameters should I tune?,Private Rental,Evenwood,36-45,Mixed,Flat
2021-01-18,Brand B,I had a problem with my boiler that was going on for a few months. I contacted the housing officer directly and it was sorted within a week.,Anonymous,Why is inference so slow on new data?,Freehold,REDCAR,26-35,White,Bungalow
2022-07-22,Brand B,If I need any repairs  done they come straight out or come out the next day,LARV020050005,What causes high variance in predictions?,Leasehold,Etherley,46-60,Black,Maisonette
2021-08-13,Brand A,"Every time I have to call them out they do a good job. I have lived here for 15 years so I know them pretty well. Apart from the repairs everything is good, the Neighbours and the area are fine.",AIDA010040003,How can I improve model precision?,Shared Ownership,Teesdale,46-60,Mixed,Bungalow
2022-01-13,Brand B,If I am needing repairs doing they will do them! There is not much that they will not do. I have lived here for 15 months now so I am still fairly new it has all been brilliant including the process for moving in to the property.,PLAN010590001,How do I handle missing values?,Private Rental,Skinningrove,36-45,White,Bungalow
2024-08-16,Brand C,"very prompt with repairs. The staff are great, always ready to help.  inside doors are very dated, but all in all everything else is good.",BALD010050001,How do I handle missing values?,Freehold,Middlesbrough,26-35,Mixed,Bungalow
2022-02-11,Brand D,Whenever I have had a problem and rung up the office they have sorted it within a day. Nothing has been a problem for them and they have resolved my problems quickly and efficiently.,NENT010050006,How can I improve model precision?,Leasehold,Staindrop,46-60,White,Studio
2023-03-18,Brand B,"They are alright, I have no problems with them at all. I have lived here for over a year, it was a smooth process for me moving in and I have settled well. The move was a good one and I have had no issues.",PARK030100001,How do I handle missing values?,Freehold,Cockfield,18-25,Other,Bungalow
2023-08-31,Brand B,"I am just happy, they come and see me, they come and check up on me regularly. The repair system is good though I am waiting for a repair at the moment. I have lived here for about twenty years so I know them pretty well.",LARV020050005,Why is inference so slow on new data?,Leasehold,Stockton,46-60,Asian,Studio
2022-04-22,Brand B,"I just think that they are great. Of all the other Landlords I have had they have never done repairs but these are different. I moved in in August, I was gifted carpets and had a paint card to decorate. I have had the boiler down twice, I cannot fault them, it is working OK at the moment. We had knocked the radiator and that caused the problem.",Anonymous,Why is inference so slow on new data?,Leasehold,Hartlepool,26-35,Black,Maisonette
2024-11-28,Brand A,"Prompt repair, lovely repair man and a job well done",BREN010210010,How can I improve model precision?,Freehold,Hartlepool,36-45,Mixed,Bungalow
2022-07-31,Brand B,"They are alright, I have no problems with them at all. I have lived here for over a year, it was a smooth process for me moving in and I have settled well. The move was a good one and I have had no issues.",NENT010050006,What causes high variance in predictions?,Shared Ownership,Stokesley,46-60,Asian,Studio
2023-08-19,Brand C,From getting the phone call to offer me the house nicola was fantastic throughout it all,MITC021150001,Why is inference so slow on new data?,Shared Ownership,Hartlepool,46-60,Black,Studio
2023-10-07,Brand A,"As soon as you call and report something they come and get the job done, there is no waiting about. Apart from the repairs everything is also OK, the neighborhood is nice and quiet, we are in a cul-de-sac.",PLAN010590001,What hyperparameters should I tune?,Private Rental,Evenwood,26-35,Other,House
2021-01-18,Brand D,Workers great help respectful,MILT010770106,What causes high variance in predictions?,Shared Ownership,REDCAR,26-35,White,Maisonette
2024-12-20,Brand B,"They are alright, I have no problems with them at all. I have lived here for over a year, it was a smooth process for me moving in and I have settled well. The move was a good one and I have had no issues.",EMBL010020002,What causes high variance in predictions?,Shared Ownership,NORTON,18-25,Other,House
2023-07-25,Brand A,I love it here because they are very nice and friendly. I also get my repairs done quickly and it is better to where I used to live.,WORT020150001,Why is inference so slow on new data?,Freehold,Gainford,26-35,Asian,Maisonette
2023-12-27,Brand C,so far jobs have been carried out as promised,PARK030100001,Why is inference so slow on new data?,Freehold,Teesdale,26-35,Mixed,House
2023-01-17,Brand A,I had a problem with my boiler that was going on for a few months. I contacted the housing officer directly and it was sorted within a week.,AYRE030310001,How do I handle missing values?,Private Rental,Carlinhow,18-25,Mixed,House
2022-12-11,Brand B,Servicing is kept up to date and I’ve just had a full electrical check which makes me feel safe,Anonymous,How do I handle missing values?,Leasehold,Stokesley,36-45,Asian,Flat
2023-12-02,Brand B,"Every time I have to call them out they do a good job. I have lived here for 15 years so I know them pretty well. Apart from the repairs everything is good, the Neighbours and the area are fine.",AYRE030310001,What hyperparameters should I tune?,Freehold,Hartlepool,60+,Mixed,Flat
2023-01-12,Brand A,I love it here because they are very nice and friendly. I also get my repairs done quickly and it is better to where I used to live.,MILT010770106,Why is inference so slow on new data?,Freehold,Cotherstone,60+,White,Flat
2024-12-12,Brand C,I love it here because they are very nice and friendly. I also get my repairs done quickly and it is better to where I used to live.,BREN010210010,Why is inference so slow on new data?,Leasehold,Carlinhow,60+,Black,Bungalow
2021-11-17,Brand B,"Prompt repair, lovely repair man and a job well done",Anonymous,Why is inference so slow on new data?,Leasehold,Consett,36-45,White,Bungalow
2021-05-11,Brand B,Helpfull,MANS010810009,Why is inference so slow on new data?,Leasehold,Hartlepool,60+,Black,House
2024-09-28,Brand D,"I have never had any problems at all with them. We have a brilliant Housing Officer and they do a lot of extras with regard to energy efficiency and the cost of living crisis. From the information they have sent they have been and checked all properties for extra efficiency on heating and made improvements where necessary and this has helped in general. Jane is the Housing Officer and she is great, if there is anything she can do she will. Over the years she has helped with my Daughter and arranged improvement work to be carried out. She is always available and will put in place anything that is needed.",MITC021150001,How can I improve model precision?,Leasehold,Staindrop,60+,Other,Studio
2023-07-10,Brand B,"Efficiency, reliability, prompt responses.",WORT020150001,What hyperparameters should I tune?,Shared Ownership,Staindrop,36-45,Black,Flat
